@moeednj,pti supporter hate amir liauqatwhy imran khan give ticket manseriously face suitable ptihe kick party
@jimnybillybobb,felt one amir khan suer x
@narendramodi,honourable indian pm modi dr veerababu bsms chennai give good treatment covid chitha doctor corona patients recover without death
@kapilsharmak,come back fast need full throated laughter open lungs effective way boost immunity corona
@varshaparmar,see amir khan movie sarfarosh many gulam mustafa live india
@officialarnab,always live past rahul comment two issue covid case china case
@jayantk,yes please throw srk amir khan country know drama patriotism work
@ahmernajeeb,need leave usman khan shinwari take stage
@iujjawaltrivedi,exactly sab naam k hero haiinme toh humanity bhi nehi haithis kind behaviour acceptable amitabh bachchan sir amir khan sharukh khan atleast
@mullamitch,didnt even know amir khan marry previously
@pandajay,know love show pakistan amir khan show love change narrative film script bajrangi bhaijan raazi etc agree murki come clean denounce
@gurdeep,say bollywood biggies srk amir khan akshay kumar ajay devgan responsibility towards society mum one actor film industry die mysterious circumstances
@areejmalik,sleep sad wake almost like im amir khan gajini go day afternoon like oh acha han sad hours days mad
@flowersssr,speak patriotic one liners screen much easier real hero real life require real spine gandhi bhagat singh shivaji itmaharana pratap lokmaya tilak itlikes salman akshay srk ajay amir plastic dance robots candlessr
@oldfoxbhardwaj,rajamouli nxt project mahabaratham
@amirkingkhan,cope
@danrafael,logic people backwards
@maymah,amir khan aamir khan
@chauresaurav,look weather actor amir khan ahead others
@alloftheworld,amir khan better actor
@beingaksh,bro abhi khans k fan ek sath ho jao
@pslmemeswalay,babar azam drive australia tour
@wbsuperseries,amir khan would kod second
@kieranmurphy,career amir khan get sick hear years ago
@espnringside,talk online fight old amir khan chin get davis leave overs lmao
@viveksrivastav,seriously lose fyi im modi supporter love sharukh khan salman khan amir khan dont see people favourite actor prism religion always try bring religion inbetween divide people shame
@soulefacts,srk karan johar sonam kapoor anil kapoor amir khan amp score actors business link pakistanis link pak isi amp army amp anti indian jihadi sympathisers course try improve indopak relations amp believe bhai bhai relations
@sanjaydixit,intellectual terrorist sir u miss amir khan nasaruddhin shah intolerant gang
@camerawala,abhi neta sahab ne bola hai prove karna padega waise ask amir khan much money get name nephew imran khan please ignore people say abt ajit dovals son pasni businessmen business
@chalchitraabhi,muslims right take pride srk salman khan amir khan irfan khan tabu dilip kumar amjad khan many worderful entertainers belong country wanna hate community dont selective
@jandhyalathitlu,amir khan next movie laal singh chaddhamay copy movie
@ukchoudhary,like kiran shaw amir khan even narayan murthys son finance wire
@cricingif,stupid decision send rohail nazir back instead haris rauf send mamir send musa khan back brainless say least
@aartitikoo,every one know khan gang muslim actors actresses direct link anti india groupsmultiple time amir khanshariah khan salman khan expose action modi govt
@opindiacom,mahesh bhatt amir khan salman sharuk wont make movie
@chetanbhagat,obviously amir khan
@umanathanv,actually scene movie pk amir khan scene would like call father marry daughter another man prostitution tamils know do dheerga dharisi periyar years back
@fairlady,one reason come
@proudindianpiyu,say shahrukh khan amir khan talk intolerance india either people say u like u hate boycott im even fan vidya im grow pfff
@dawudzaheer,best bollywood movie ive see yet basically amir khan movies good
@ranautkanganafc,selective boycott boycott everyone didnt support justice movement
@khan,ispr control also threaten journalists violence abduction worse amir mateen fall line abandon hamid mir shoot pakistan sham democracy imran khan select pm
@srishirajind,boycott bollywood mafia salman khan shahrukh khan amir khan karan johar mahesh bhat relatives stop watch movies show let teach strong lesson
